comment,closereasontype,Description
"1","exact duplicate","This question covers exactly the same content as earlier questions on this topic; its answers may be merged with another identical question."
"2","off topic","Questions on Stack Overflow are expected to relate to programming or software development within the scope defined in the <a href=""/faq"">FAQ</a>. Consider editing the question or leaving comments for improvement if you believe the question can be reworded to fit within the scope. Read more about <a href=""/faq#close"">closed questions</a> here."
"3","not constructive","As it currently stands, this question is not a good fit for our Q&A format. We expect answers to be supported by facts, references, or specific expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question can be improved and possibly reopened, <a href=""/faq#close"">see the FAQ</a> for guidance."
"4","not a real question","It's difficult to tell what is being asked here. This question is ambiguous, vague, incomplete, overly broad, or rhetorical and cannot be reasonably answered in its current form. For help clarifying this question so that it can be reopened, <a href=""/faq#close"">see the FAQ</a>."
"7","too localized","This question is unlikely to help any future visitors; it is only relevant to a small geographic area, a specific moment in time, or an extraordinarily narrow situation that is not generally applicable to the worldwide audience of the internet. For help making this question more broadly applicable, <a href=""/faq#close"">see the FAQ</a>."
"10","general reference",""
"20","noise of pointless",""
"101","Duplicate of...","This question has been asked before and already has an answer."
"102","Off-topic","This question does not appear to be on-topic for the current site and/or belongs on another site in the Stack Exchange network."
"103","Needs details or clarity","This question is likely to be answered with opinions rather than facts and citations. It should be updated so it will lead to fact-based answers."
"104","Needs more focus","This question currently includes multiple questions in one. It should focus on one problem only."
"105","Opinion-based","This question should include more details and clarify the problem."
"201","off-topic (channels)",""